global_index	pos	token_id	token	valid	ib_conf_t	ib_conf_a	ib_conf_v	ib_conf_fused
2861	0	1	[CLS]	1	0.65665776	0.51258719	0.51716471	0.65665776
2861	1	323	▁.	1	0.65665776	0.58199358	0.51716471	0.65665776
2861	2	263	▁and	1	0.65665776	0.54696226	0.51716471	0.65665776
2861	3	324	▁so	1	0.65665776	0.54696226	0.50731099	0.65665776
2861	4	301	▁we	1	0.65665776	0.54696226	0.51582927	0.65665776
2861	5	1103	▁worked	1	0.65665776	0.54696226	0.52264106	0.65665776
2861	6	275	▁with	1	0.65665776	0.51520723	0.51641476	0.65665776
2861	7	263	▁and	1	0.65665776	0.54815930	0.49228898	0.65665776
2861	8	323	▁.	1	0.65665776	0.68714029	0.51716471	0.65665776
2861	9	262	▁the	1	0.65665776	0.65967894	0.49946952	0.65665776
2861	10	323	▁.	1	0.65665776	0.52284133	0.51071739	0.65665776
2861	11	2307	▁department	1	0.65665776	0.52521223	0.51344895	0.65665776
2861	12	265	▁of	1	0.65665776	0.50212139	0.51716471	0.65665776
2861	13	843	▁energy	1	0.65665776	0.56286126	0.52414554	0.65665776
2861	14	323	▁.	1	0.65665776	0.52080387	0.51716471	0.65665776
2861	15	263	▁and	1	0.65665776	0.50494164	0.51716471	0.65665776
2861	16	323	▁.	1	0.65665776	0.50374252	0.51716471	0.65665776
2861	17	265	▁of	1	0.65665776	0.53546274	0.51716471	0.65665776
2861	18	323	▁.	1	0.65665776	0.54893041	0.51716471	0.65665776
2861	19	2307	▁department	1	0.65665776	0.50209928	0.51716471	0.65665776
2861	20	265	▁of	1	0.65665776	0.50706923	0.51716471	0.65665776
2861	21	843	▁energy	1	0.65665776	0.60822535	0.51716471	0.65665776
2861	22	263	▁and	1	0.65665776	0.51072264	0.51716471	0.65665776
2861	23	2424	▁climate	1	0.65665776	0.55446887	0.51716471	0.65665776
2861	24	575	▁change	1	0.65665776	0.52219343	0.51716471	0.65665776
2861	25	272	▁that	1	0.65665776	0.51677346	0.51716471	0.65665776
2861	26	47150	▁administers	1	0.65665776	0.57985127	0.51716471	0.65665776
2861	27	323	▁.	1	0.65665776	0.50132382	0.51716471	0.65665776
2861	28	291	▁this	1	0.65665776	0.50338858	0.51716471	0.65665776
2861	29	264	▁to	1	0.65665776	0.50045979	0.51716471	0.65665776
2861	30	323	▁.	1	0.65665776	0.50239027	0.51716471	0.65665776
2861	31	2	[SEP]	1	0.65665776	0.51258719	0.51716471	0.65665776
2861	32	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	33	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	34	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	35	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	36	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	37	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	38	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	39	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	40	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	41	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	42	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	43	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	44	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	45	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	46	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	47	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	48	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
2861	49	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
