direction,mask_ratio,label,pred,abs_err,primary_idx,primary_name,w_a,w_l,w_v,ib_conf_t,ib_conf_a,ib_conf_v,ib_conf_fused
low,0.0,0.3333333432674408,0.3062061071395874,0.027127236127853394,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
low,0.1,0.3333333432674408,0.30800917744636536,0.02532416582107544,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
low,0.2,0.3333333432674408,0.30993905663490295,0.023394286632537842,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
low,0.3,0.3333333432674408,0.3111150562763214,0.022218286991119385,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
low,0.4,0.3333333432674408,0.3141348361968994,0.019198507070541382,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
low,0.5,0.3333333432674408,0.3180522620677948,0.015281081199645996,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
high,0.0,0.3333333432674408,0.3062061071395874,0.027127236127853394,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
high,0.1,0.3333333432674408,0.2948327660560608,0.038500577211380005,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
high,0.2,0.3333333432674408,0.29114747047424316,0.04218587279319763,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
high,0.3,0.3333333432674408,0.29104048013687134,0.04229286313056946,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
high,0.4,0.3333333432674408,0.29073503613471985,0.04259830713272095,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
high,0.5,0.3333333432674408,0.2903599739074707,0.04297336935997009,0,acoustic,0.4706421494483948,0.45210546255111694,0.07725244760513306,0.640498697757721,0.5053001642227173,0.48877042531967163,0.5053001642227173
