global_index	pos	token_id	token	valid	ib_conf_t	ib_conf_a	ib_conf_v	ib_conf_fused
342	0	101	[CLS]	1	0.90111905	0.49680603	0.49655649	0.90111905
342	1	872	你	1	0.61989117	0.49853349	0.49411288	0.61989117
342	2	2372	带	1	0.66347313	0.49771693	0.49207908	0.66347313
342	3	1961	她	1	0.60804141	0.49901167	0.51052618	0.60804141
342	4	6624	走	1	0.63087296	0.53997362	0.47864741	0.63087296
342	5	8024	，	1	0.69486988	0.54613072	0.47094861	0.69486988
342	6	939	俺	1	0.61427021	0.49841261	0.49267149	0.61427021
342	7	6206	要	1	0.76632625	0.49986601	0.52475840	0.76632625
342	8	3221	是	1	0.75384176	0.49936455	0.48498595	0.75384176
342	9	3300	有	1	0.78049779	0.58067632	0.48594165	0.78049779
342	10	1462	命	1	0.79969370	0.51590490	0.46706954	0.79969370
342	11	1726	回	1	0.77902937	0.54717040	0.46804708	0.77902937
342	12	1343	去	1	0.79303974	0.52016127	0.47155488	0.79303974
342	13	8024	，	1	0.85476875	0.49397308	0.47757322	0.85476875
342	14	939	俺	1	0.75546980	0.49845874	0.49064457	0.75546980
342	15	2496	当	1	0.86356777	0.49640718	0.49037537	0.86356777
342	16	4281	牛	1	0.81100214	0.49584162	0.48527834	0.81100214
342	17	976	做	1	0.81551260	0.50400376	0.47491825	0.81551260
342	18	7716	马	1	0.81649268	0.50751865	0.46338922	0.81649268
342	19	2845	报	1	0.85286593	0.64387274	0.47023338	0.85286593
342	20	5031	答	1	0.80419719	0.49958724	0.47803599	0.80419719
342	21	872	你	1	0.76823664	0.49716529	0.53343654	0.76823664
342	22	102	[SEP]	1	0.66583353	0.49680603	0.49655649	0.66583353
342	23	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	24	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	25	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	26	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	27	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	28	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	29	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	30	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	31	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	32	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	33	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	34	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	35	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	36	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	37	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	38	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	39	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	40	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	41	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	42	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	43	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	44	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	45	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	46	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	47	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	48	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
342	49	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
