pos,token_id,token,primary_name,aux_conf_mean,conf_acoustic,conf_language,conf_visual,pred_masked,delta_pred,abs_delta_pred,abs_err_masked,delta_abs_err
0,101,[CLS],language,0.49668125808238983,0.4968060255050659,0.9011189937591553,0.49655649065971375,-0.8105596899986267,-0.007316470146179199,0.007316470146179199,0.010559678077697754,0.007316470146179199
1,872,你,language,0.4963231831789017,0.4985334873199463,0.6198911666870117,0.49411287903785706,-0.8095371723175049,-0.006293952465057373,0.006293952465057373,0.009537160396575928,0.006293952465057373
2,2372,带,language,0.4948980063199997,0.4977169334888458,0.6634731292724609,0.49207907915115356,-0.8100875616073608,-0.00684434175491333,0.00684434175491333,0.010087549686431885,0.00684434175491333
3,1961,她,language,0.5047689229249954,0.49901166558265686,0.6080414056777954,0.510526180267334,-0.8107587099075317,-0.0075154900550842285,0.0075154900550842285,0.010758697986602783,0.0075154900550842285
4,6624,走,language,0.5093105137348175,0.5399736166000366,0.6308728456497192,0.4786474108695984,-0.7919741272926331,0.011269092559814453,0.011269092559814453,0.008025884628295898,0.004782676696777344
5,8024,，,language,0.5085396617650986,0.5461307168006897,0.694869875907898,0.47094860672950745,-0.7918379306793213,0.01140528917312622,0.01140528917312622,0.008162081241607666,0.004918873310089111
6,939,俺,language,0.495542049407959,0.4984126091003418,0.6142701506614685,0.49267148971557617,-0.8093864917755127,-0.0061432719230651855,0.0061432719230651855,0.00938647985458374,0.0061432719230651855
7,6206,要,language,0.5123122036457062,0.4998660087585449,0.7663261890411377,0.5247583985328674,-0.8099700212478638,-0.00672680139541626,0.00672680139541626,0.009970009326934814,0.00672680139541626
8,3221,是,language,0.49217525124549866,0.49936455488204956,0.753841757774353,0.48498594760894775,-0.8090873956680298,-0.005844175815582275,0.005844175815582275,0.00908738374710083,0.005844175815582275
9,3300,有,language,0.5333089828491211,0.5806763172149658,0.780497670173645,0.48594164848327637,-0.7892515063285828,0.013991713523864746,0.013991713523864746,0.010748505592346191,0.007505297660827637
10,1462,命,language,0.49148721992969513,0.5159049034118652,0.7996935248374939,0.467069536447525,-0.7936900854110718,0.009553134441375732,0.009553134441375732,0.006309926509857178,0.003066718578338623
11,1726,回,language,0.5076087415218353,0.5471704006195068,0.779029369354248,0.4680470824241638,-0.7916684150695801,0.011574804782867432,0.011574804782867432,0.008331596851348877,0.005088388919830322
12,1343,去,language,0.4958580732345581,0.5201612710952759,0.7930399179458618,0.47155487537384033,-0.7932152152061462,0.01002800464630127,0.01002800464630127,0.006784796714782715,0.00354158878326416
13,8024,，,language,0.48577314615249634,0.4939730763435364,0.8547686338424683,0.4775732159614563,-0.809341311454773,-0.0060980916023254395,0.0060980916023254395,0.009341299533843994,0.0060980916023254395
14,939,俺,language,0.4945516586303711,0.49845874309539795,0.7554699182510376,0.49064457416534424,-0.8088613748550415,-0.005618155002593994,0.005618155002593994,0.008861362934112549,0.005618155002593994
15,2496,当,language,0.4933912754058838,0.4964071810245514,0.8635677099227905,0.4903753697872162,-0.8098855018615723,-0.006642282009124756,0.006642282009124756,0.00988548994064331,0.006642282009124756
16,4281,牛,language,0.49055998027324677,0.4958416223526001,0.8110018968582153,0.48527833819389343,-0.8097352981567383,-0.0064920783042907715,0.0064920783042907715,0.009735286235809326,0.0064920783042907715
17,976,做,language,0.4894610047340393,0.5040037631988525,0.8155125379562378,0.4749182462692261,-0.7986235022544861,0.004619717597961426,0.004619717597961426,0.001376509666442871,-0.0018666982650756836
18,7716,马,language,0.48545393347740173,0.5075186491012573,0.8164922595024109,0.46338921785354614,-0.7956241369247437,0.007619082927703857,0.007619082927703857,0.004375874996185303,0.001132667064666748
19,2845,报,language,0.5570530593395233,0.6438727378845215,0.8528659343719482,0.47023338079452515,-0.787157416343689,0.016085803508758545,0.016085803508758545,0.01284259557723999,0.009599387645721436
20,5031,答,language,0.4888116121292114,0.4995872378349304,0.8041970729827881,0.47803598642349243,-0.8099550008773804,-0.006711781024932861,0.006711781024932861,0.009954988956451416,0.006711781024932861
21,872,你,language,0.515300914645195,0.4971652925014496,0.7682362794876099,0.5334365367889404,-0.8103045225143433,-0.007061302661895752,0.007061302661895752,0.010304510593414307,0.007061302661895752
22,102,[SEP],language,0.49668125808238983,0.4968060255050659,0.6658334732055664,0.49655649065971375,-0.8105596899986267,-0.007316470146179199,0.007316470146179199,0.010559678077697754,0.007316470146179199
